id_respondent,Rating,Tipo_di_Pesce,Panatura,Spezie,Tempo_di_Preparazione,Formato_Confezione
1,40.0,Gambero,Nessuna,Nessuna,MenoDi8,Famiglia
1,80.0,Calamaro,Panko,SalviaRosmarino,MenoDi8,Mono
1,90.0,Salmone,Panko,PrezzemoloBasilico,PiùDi15,Doppia
1,30.0,Salmone,Nessuna,PrezzemoloBasilico,MenoDi8,Mono
1,20.0,Salmone,Gratinato,SalviaRosmarino,MenoDi8,Famiglia
1,70.0,Salmone,Panko,SalviaRosmarino,8-15,Famiglia
1,30.0,Calamaro,Gratinato,Nessuna,MenoDi8,Doppia
1,50.0,Gambero,Nessuna,SalviaRosmarino,8-15,Doppia
1,80.0,Gambero,Gratinato,PrezzemoloBasilico,8-15,Mono
1,20.0,Salmone,Nessuna,Nessuna,PiùDi15,Mono
1,60.0,Gambero,Panko,Nessuna,PiùDi15,Famiglia
1,90.0,Gambero,Panko,PrezzemoloBasilico,MenoDi8,Doppia
1,80.0,Salmone,Gratinato,Nessuna,8-15,Doppia
1,30.0,Calamaro,Nessuna,SalviaRosmarino,PiùDi15,Doppia
1,70.0,Gambero,Gratinato,SalviaRosmarino,PiùDi15,Mono
1,40.0,Calamaro,Nessuna,PrezzemoloBasilico,8-15,Famiglia
1,40.0,Calamaro,Gratinato,PrezzemoloBasilico,PiùDi15,Famiglia
1,20.0,Calamaro,Panko,Nessuna,8-15,Mono
2,90.0,Calamaro,Panko,Nessuna,8-15,Mono
2,80.0,Salmone,Gratinato,Nessuna,8-15,Doppia
2,80.0,Gambero,Nessuna,SalviaRosmarino,8-15,Doppia
2,80.0,Gambero,Gratinato,SalviaRosmarino,PiùDi15,Mono
2,80.0,Gambero,Gratinato,PrezzemoloBasilico,8-15,Mono
2,70.0,Salmone,Panko,SalviaRosmarino,8-15,Famiglia
2,60.0,Salmone,Nessuna,PrezzemoloBasilico,MenoDi8,Mono
2,100.0,Calamaro,Gratinato,Nessuna,MenoDi8,Doppia
2,80.0,Gambero,Panko,Nessuna,PiùDi15,Famiglia
2,70.0,Salmone,Nessuna,Nessuna,PiùDi15,Mono
2,80.0,Gambero,Panko,PrezzemoloBasilico,MenoDi8,Doppia
2,60.0,Calamaro,Nessuna,SalviaRosmarino,PiùDi15,Doppia
2,80.0,Calamaro,Nessuna,PrezzemoloBasilico,8-15,Famiglia
2,90.0,Calamaro,Gratinato,PrezzemoloBasilico,PiùDi15,Famiglia
2,100.0,Calamaro,Panko,SalviaRosmarino,MenoDi8,Mono
2,70.0,Salmone,Gratinato,SalviaRosmarino,MenoDi8,Famiglia
2,70.0,Salmone,Panko,PrezzemoloBasilico,PiùDi15,Doppia
2,80.0,Gambero,Nessuna,Nessuna,MenoDi8,Famiglia
3,80.0,Salmone,Gratinato,Nessuna,8-15,Doppia
3,20.0,Gambero,Panko,Nessuna,PiùDi15,Famiglia
3,70.0,Salmone,Nessuna,Nessuna,PiùDi15,Mono
3,100.0,Gambero,Gratinato,PrezzemoloBasilico,8-15,Mono
3,30.0,Calamaro,Gratinato,Nessuna,MenoDi8,Doppia
3,0.0,Salmone,Panko,SalviaRosmarino,8-15,Famiglia
3,100.0,Gambero,Panko,PrezzemoloBasilico,MenoDi8,Doppia
3,100.0,Salmone,Nessuna,PrezzemoloBasilico,MenoDi8,Mono
3,60.0,Calamaro,Nessuna,SalviaRosmarino,PiùDi15,Doppia
3,100.0,Gambero,Gratinato,SalviaRosmarino,PiùDi15,Mono
3,40.0,Calamaro,Panko,SalviaRosmarino,MenoDi8,Mono
3,20.0,Calamaro,Panko,Nessuna,8-15,Mono
3,80.0,Salmone,Panko,PrezzemoloBasilico,PiùDi15,Doppia
3,90.0,Gambero,Nessuna,SalviaRosmarino,8-15,Doppia
3,10.0,Salmone,Gratinato,SalviaRosmarino,MenoDi8,Famiglia
3,50.0,Gambero,Nessuna,Nessuna,MenoDi8,Famiglia
3,0.0,Calamaro,Nessuna,PrezzemoloBasilico,8-15,Famiglia
3,0.0,Calamaro,Gratinato,PrezzemoloBasilico,PiùDi15,Famiglia
4,100.0,Gambero,Panko,Nessuna,PiùDi15,Famiglia
4,70.0,Salmone,Gratinato,Nessuna,8-15,Doppia
4,70.0,Calamaro,Gratinato,Nessuna,MenoDi8,Doppia
4,90.0,Salmone,Gratinato,SalviaRosmarino,MenoDi8,Famiglia
4,50.0,Gambero,Gratinato,PrezzemoloBasilico,8-15,Mono
4,60.0,Calamaro,Panko,Nessuna,8-15,Mono
4,50.0,Salmone,Nessuna,Nessuna,PiùDi15,Mono
4,90.0,Salmone,Panko,SalviaRosmarino,8-15,Famiglia
4,80.0,Gambero,Panko,PrezzemoloBasilico,MenoDi8,Doppia
4,60.0,Salmone,Nessuna,PrezzemoloBasilico,MenoDi8,Mono
4,90.0,Calamaro,Gratinato,PrezzemoloBasilico,PiùDi15,Famiglia
4,80.0,Calamaro,Nessuna,PrezzemoloBasilico,8-15,Famiglia
4,70.0,Salmone,Panko,PrezzemoloBasilico,PiùDi15,Doppia
4,70.0,Calamaro,Nessuna,SalviaRosmarino,PiùDi15,Doppia
4,50.0,Gambero,Gratinato,SalviaRosmarino,PiùDi15,Mono
4,60.0,Calamaro,Panko,SalviaRosmarino,MenoDi8,Mono
4,100.0,Gambero,Nessuna,Nessuna,MenoDi8,Famiglia
4,80.0,Gambero,Nessuna,SalviaRosmarino,8-15,Doppia
5,70.0,Gambero,Nessuna,SalviaRosmarino,8-15,Doppia
5,80.0,Gambero,Panko,Nessuna,PiùDi15,Famiglia
5,80.0,Calamaro,Nessuna,PrezzemoloBasilico,8-15,Famiglia
5,70.0,Salmone,Gratinato,SalviaRosmarino,MenoDi8,Famiglia
5,50.0,Salmone,Gratinato,Nessuna,8-15,Doppia
5,60.0,Gambero,Nessuna,Nessuna,MenoDi8,Famiglia
5,80.0,Calamaro,Gratinato,Nessuna,MenoDi8,Doppia
5,80.0,Calamaro,Panko,SalviaRosmarino,MenoDi8,Mono
5,70.0,Gambero,Gratinato,PrezzemoloBasilico,8-15,Mono
5,60.0,Gambero,Gratinato,SalviaRosmarino,PiùDi15,Mono
5,50.0,Salmone,Nessuna,Nessuna,PiùDi15,Mono
5,60.0,Salmone,Panko,SalviaRosmarino,8-15,Famiglia
5,60.0,Salmone,Panko,PrezzemoloBasilico,PiùDi15,Doppia
5,60.0,Salmone,Nessuna,PrezzemoloBasilico,MenoDi8,Mono
5,60.0,Gambero,Panko,PrezzemoloBasilico,MenoDi8,Doppia
5,80.0,Calamaro,Gratinato,PrezzemoloBasilico,PiùDi15,Famiglia
5,80.0,Calamaro,Nessuna,SalviaRosmarino,PiùDi15,Doppia
5,60.0,Calamaro,Panko,Nessuna,8-15,Mono
6,100.0,Salmone,Panko,PrezzemoloBasilico,PiùDi15,Doppia
6,100.0,Calamaro,Panko,SalviaRosmarino,MenoDi8,Mono
6,100.0,Salmone,Panko,SalviaRosmarino,8-15,Famiglia
6,100.0,Calamaro,Gratinato,Nessuna,MenoDi8,Doppia
6,100.0,Gambero,Nessuna,SalviaRosmarino,8-15,Doppia
6,100.0,Salmone,Nessuna,PrezzemoloBasilico,MenoDi8,Mono
6,100.0,Salmone,Gratinato,SalviaRosmarino,MenoDi8,Famiglia
6,100.0,Gambero,Gratinato,PrezzemoloBasilico,8-15,Mono
6,100.0,Calamaro,Nessuna,SalviaRosmarino,PiùDi15,Doppia
6,100.0,Gambero,Gratinato,SalviaRosmarino,PiùDi15,Mono
6,100.0,Salmone,Nessuna,Nessuna,PiùDi15,Mono
6,100.0,Gambero,Nessuna,Nessuna,MenoDi8,Famiglia
6,100.0,Calamaro,Panko,Nessuna,8-15,Mono
6,100.0,Gambero,Panko,PrezzemoloBasilico,MenoDi8,Doppia
6,100.0,Calamaro,Nessuna,PrezzemoloBasilico,8-15,Famiglia
6,100.0,Calamaro,Gratinato,PrezzemoloBasilico,PiùDi15,Famiglia
6,100.0,Gambero,Panko,Nessuna,PiùDi15,Famiglia
6,100.0,Salmone,Gratinato,Nessuna,8-15,Doppia
7,80.0,Calamaro,Panko,SalviaRosmarino,MenoDi8,Mono
7,0.0,Calamaro,Nessuna,PrezzemoloBasilico,8-15,Famiglia
7,60.0,Calamaro,Nessuna,SalviaRosmarino,PiùDi15,Doppia
7,80.0,Gambero,Gratinato,SalviaRosmarino,PiùDi15,Mono
7,60.0,Salmone,Panko,PrezzemoloBasilico,PiùDi15,Doppia
7,60.0,Gambero,Nessuna,Nessuna,MenoDi8,Famiglia
7,60.0,Calamaro,Gratinato,PrezzemoloBasilico,PiùDi15,Famiglia
7,60.0,Gambero,Panko,PrezzemoloBasilico,MenoDi8,Doppia
7,80.0,Calamaro,Panko,Nessuna,8-15,Mono
7,0.0,Salmone,Nessuna,PrezzemoloBasilico,MenoDi8,Mono
7,70.0,Gambero,Panko,Nessuna,PiùDi15,Famiglia
7,90.0,Salmone,Gratinato,Nessuna,8-15,Doppia
7,60.0,Gambero,Nessuna,SalviaRosmarino,8-15,Doppia
7,90.0,Calamaro,Gratinato,Nessuna,MenoDi8,Doppia
7,60.0,Gambero,Gratinato,PrezzemoloBasilico,8-15,Mono
7,0.0,Salmone,Nessuna,Nessuna,PiùDi15,Mono
7,90.0,Salmone,Gratinato,SalviaRosmarino,MenoDi8,Famiglia
7,90.0,Salmone,Panko,SalviaRosmarino,8-15,Famiglia
8,80.0,Salmone,Nessuna,Nessuna,PiùDi15,Mono
8,40.0,Salmone,Panko,PrezzemoloBasilico,PiùDi15,Doppia
8,60.0,Calamaro,Gratinato,Nessuna,MenoDi8,Doppia
8,20.0,Salmone,Panko,SalviaRosmarino,8-15,Famiglia
8,20.0,Calamaro,Nessuna,PrezzemoloBasilico,8-15,Famiglia
8,20.0,Gambero,Panko,PrezzemoloBasilico,MenoDi8,Doppia
8,40.0,Calamaro,Panko,SalviaRosmarino,MenoDi8,Mono
8,80.0,Salmone,Nessuna,PrezzemoloBasilico,MenoDi8,Mono
8,70.0,Calamaro,Nessuna,SalviaRosmarino,PiùDi15,Doppia
8,40.0,Gambero,Nessuna,Nessuna,MenoDi8,Famiglia
8,20.0,Gambero,Panko,Nessuna,PiùDi15,Famiglia
8,20.0,Calamaro,Gratinato,PrezzemoloBasilico,PiùDi15,Famiglia
8,40.0,Gambero,Nessuna,SalviaRosmarino,8-15,Doppia
8,20.0,Gambero,Gratinato,PrezzemoloBasilico,8-15,Mono
8,20.0,Salmone,Gratinato,SalviaRosmarino,MenoDi8,Famiglia
8,20.0,Gambero,Gratinato,SalviaRosmarino,PiùDi15,Mono
8,20.0,Calamaro,Panko,Nessuna,8-15,Mono
8,80.0,Salmone,Gratinato,Nessuna,8-15,Doppia
9,0.0,Calamaro,Panko,Nessuna,8-15,Mono
9,0.0,Salmone,Panko,PrezzemoloBasilico,PiùDi15,Doppia
9,0.0,Salmone,Nessuna,Nessuna,PiùDi15,Mono
9,0.0,Calamaro,Nessuna,SalviaRosmarino,PiùDi15,Doppia
9,0.0,Calamaro,Gratinato,PrezzemoloBasilico,PiùDi15,Famiglia
9,10.0,Gambero,Gratinato,PrezzemoloBasilico,8-15,Mono
9,10.0,Gambero,Panko,PrezzemoloBasilico,MenoDi8,Doppia
9,0.0,Salmone,Nessuna,PrezzemoloBasilico,MenoDi8,Mono
9,0.0,Calamaro,Panko,SalviaRosmarino,MenoDi8,Mono
